GEOID10_padded,STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,layer,path,ec_year,ec_pred,GISJOIN,YEAR_1,STATEA,COUNTYA,population,pct_female,pct_age_un,pct_age_5_,pct_age_10,pct_age_15,pct_age_18,pct_age_20,pct_age_21,pct_age_22,pct_age_25,pct_age_30,pct_age_35,pct_age_40,pct_age_45,pct_age_50,pct_age_55,pct_age_60,pct_age_62,pct_age_65,pct_age_67,pct_age__1,pct_age_70,pct_age_75,pct_age_80,pct_age_ov,pct_white,pct_non_hi,pct_hispan,pct_black,pct_non__1,pct_hisp_1,pct_native,pct_non__2,pct_hisp_2,pct_asian,pct_non__3,pct_hisp_3,pct_two_or,pct_non__4,pct_hisp_4,pct_asian_,pct_non__5,pct_hisp_5,pct_hisp_6,n_househol,pct_househ,pct_hous_1,n_housing_,n_occupied,pct_rentin,ice_race_e,nh4_year,nh4_predic,no3_year,no3_predic,oc_year,oc_predict,so42_year,so42_predi,pm25,ObjectId,Shape__Area,Shape__Length
19023,19,23,465201,19023,Butler,Butler County,6,H1,G4020,,,,A,1.502533E+09,4209738,42.73471,-92.78007,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.2755995,G1900230,2010,19,23,14867,0.5064909,0.06605233,0.06389991,0.06645591,0.03921437,0.01816103,0.007667989,0.006995359,0.02576175,0.05387772,0.05414677,0.05374319,0.05952781,0.0653797,0.07775611,0.07479653,0.02952849,0.03901258,0.02206228,0.03026838,0.05233067,0.04069415,0.03706195,0.03087375,0.03706195,0.9844623,0.9788122,0.005650098,0.00174884,0.001681577,6.726306E-05,0.001412524,0.0009416829,0.0004708414,0.002354207,0.002354207,0,0.0074662,0.007129885,0.0003363153,0.002488734,0.002488734,0,0.008945988,6120,0.03954249,0.06405229,6682,6120,0.1839869,0.9771305,2010,0.9233427,2010,1.882134,2010,1.120619,2010,1.607394,10.09644,1,2794123851.76953,211476.291344025
19025,19,25,465202,19025,Calhoun,Calhoun County,6,H1,G4020,,,,A,1.476209E+09,5560503,42.38617,-94.64368,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.2662945,G1900250,2010,19,25,9670,0.514271,0.05687694,0.06028955,0.05698035,0.03805584,0.021303,0.006928645,0.00713547,0.02740434,0.04457084,0.0467425,0.04612203,0.05356773,0.06742503,0.08376422,0.0836608,0.0246122,0.03753878,0.02533609,0.0302999,0.05563599,0.05087901,0.04498449,0.03908997,0.04643226,0.9851086,0.9793175,0.005791107,0.002275078,0.00196484,0.0003102378,0.00196484,0.001861427,0.0001034126,0.002171665,0.002068252,0.0001034126,0.006204757,0.005170631,0.001034126,0.002275078,0.002171665,0.0001034126,0.009307136,4242,0.04031117,0.07001414,5108,4242,0.2013201,0.9773526,2010,0.7900915,2010,1.639222,2010,1.250341,2010,1.57684,9.686313,2,2717694738.71875,220892.096513855
19027,19,27,465203,19027,Carroll,Carroll County,6,H1,G4020,,,,A,1.474835E+09,2145362,42.03949,-94.86765,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.2853387,G1900270,2010,19,27,20816,0.5128267,0.07033052,0.06509416,0.066103,0.04712721,0.01979247,0.008070715,0.008070715,0.02906418,0.05346848,0.05471753,0.05274789,0.05976172,0.07623943,0.08104343,0.07162759,0.02272291,0.02791122,0.01820715,0.02450038,0.04270753,0.03780746,0.03727902,0.03204266,0.03627018,0.9728094,0.9665161,0.006293236,0.003987317,0.003939277,4.803997E-05,0.001200999,0.0009607994,0.0002401998,0.004419677,0.004419677,0,0.008935435,0.007926594,0.001008839,0.004467717,0.004419677,4.803997E-05,0.01599731,8683,0.03247726,0.07393758,9376,8683,0.2530231,0.9625769,2010,0.8640545,2010,1.593152,2010,1.17612,2010,1.703549,9.930423,3,2679362825.96094,207119.30937801
19029,19,29,465204,19029,Cass,Cass County,6,H1,G4020,,,,A,1.461451E+09,1758815,41.33382,-94.9333,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.278761,G1900290,2010,19,29,13956,0.511393,0.06613643,0.06104901,0.06069074,0.04055603,0.01970479,0.009673259,0.008670106,0.02629693,0.05230725,0.05051591,0.05137575,0.05144741,0.07559472,0.08025222,0.07394669,0.02529378,0.03697335,0.02206936,0.03023789,0.05230725,0.04994268,0.0381198,0.03389223,0.03525366,0.9770708,0.9674692,0.009601605,0.002507882,0.002364574,0.0001433075,0.002006306,0.001648037,0.0003582689,0.002149613,0.002149613,0,0.006162224,0.00437088,0.001791344,0.005374033,0.005374033,0,0.0181284,5980,0.03862876,0.08277592,6591,5980,0.2757525,0.9651046,2010,1.002512,2010,1.800226,2010,1.307315,2010,1.8525,10.1618,4,2597291745.83594,203971.373967311
19031,19,31,465205,19031,Cedar,Cedar County,6,H1,G4020,,,,A,1.500731E+09,6385840,41.77235,-91.13219,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.3231312,G1900310,2010,19,31,18499,0.5053246,0.06205741,0.06805773,0.06913887,0.04600248,0.02102816,0.007730148,0.008432888,0.02421753,0.0511379,0.05503,0.05627331,0.06665225,0.08168009,0.0821666,0.07151738,0.02735283,0.03432618,0.01864966,0.0271366,0.04578626,0.03486675,0.02940699,0.02740689,0.02973134,0.9778907,0.9674577,0.010433,0.002810963,0.002810963,0,0.001567652,0.00124331,0.0003243418,0.004594843,0.004216444,0.0003783988,0.01064922,0.00875723,0.001891994,0.004757014,0.004324558,0.0004324558,0.01535218,7511,0.039542,0.07455732,8064,7511,0.214086,0.9646468,2010,1.277877,2010,2.352043,2010,1.196715,2010,1.973947,11.6583,5,2711690615.53125,208380.00185129
19033,19,33,465206,19033,Cerro Gordo,Cerro Gordo County,6,H1,G4020,,32380,,A,1.471923E+09,1.762653E+07,43.07517,-93.25127,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.3205917,G1900330,2010,19,33,44151,0.5120835,0.05759779,0.05626146,0.06237684,0.03873072,0.02969355,0.01263845,0.01062264,0.03132432,0.05891146,0.05311318,0.05139181,0.05746189,0.07648751,0.08273878,0.07884306,0.02659056,0.03585423,0.01932006,0.02584313,0.04516319,0.03927431,0.03411021,0.03071278,0.03010124,0.9504654,0.9258227,0.0246427,0.01309144,0.0125705,0.0005209395,0.002061108,0.001540169,0.0005209395,0.008538878,0.008335033,0.0002038459,0.01621707,0.01277434,0.003442731,0.008742724,0.008516229,0.0002264954,0.03836833,19350,0.03989664,0.09354005,22163,19350,0.2891473,0.9132522,2010,0.9207175,2010,1.775303,2010,1.256593,2010,1.570713,10.35511,6,2793557783.76172,211366.240736702
19035,19,35,465207,19035,Cherokee,Cherokee County,6,H1,G4020,,,,A,1.49418E+09,423187,42.74274,-95.63326,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.2564567,G1900350,2010,19,35,12072,0.5067926,0.05641153,0.05599735,0.05922797,0.04000994,0.01979788,0.008863485,0.008117959,0.02750166,0.05019881,0.04829357,0.04589132,0.05318091,0.07745195,0.08565275,0.08482439,0.027833,0.03503976,0.01988072,0.03023526,0.05011597,0.04373758,0.04332339,0.03735918,0.04116965,0.9664513,0.9570079,0.00944334,0.005467197,0.005301524,0.0001656726,0.002650762,0.002402253,0.0002485089,0.005135851,0.005135851,0,0.008697813,0.007372432,0.001325381,0.005881378,0.005218688,0.0006626906,0.02269715,5207,0.03840983,0.07470713,5777,5207,0.241982,0.9517064,2010,0.8252531,2010,1.635035,2010,1.170278,2010,1.442171,9.845556,7,2771972404.56641,210645.355755735
19037,19,37,465208,19037,Chickasaw,Chickasaw County,6,H1,G4020,,,,A,1.306339E+09,3309332,43.05974,-92.31721,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.2732494,G1900370,2010,19,37,12439,0.4971461,0.06608249,0.0668864,0.06302758,0.04799421,0.01929416,0.008521586,0.00868237,0.02733339,0.05161187,0.04839617,0.05088833,0.05691776,0.07315701,0.08489428,0.07500603,0.02636868,0.03392556,0.02130396,0.02878045,0.05008441,0.04437656,0.0334432,0.031353,0.03175496,0.9742745,0.9685666,0.005707854,0.003296085,0.002331377,0.0009647078,0.0008039231,0.0004019616,0.0004019616,0.003215692,0.003215692,0,0.004823539,0.003858831,0.0009647078,0.003215692,0.003215692,0,0.02162553,5204,0.04342813,0.06283628,5679,5204,0.189854,0.9662352,2010,0.924251,2010,1.717303,2010,1.144432,2010,1.609693,9.743426,8,2454448257.58594,198569.388151837
19039,19,39,465209,19039,Clarke,Clarke County,6,H1,G4020,,,,A,1.116716E+09,1524746,41.02919,-93.7841,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.2514257,G1900390,2010,19,39,9286,0.5018307,0.07419772,0.06892096,0.06773638,0.04178333,0.02336851,0.01109197,0.008830498,0.03489123,0.0567521,0.05470601,0.05492139,0.05976739,0.07118242,0.07462847,0.07236701,0.02519923,0.03284514,0.01927633,0.0263838,0.04566013,0.03790653,0.02756838,0.02993754,0.02573767,0.9431402,0.8839113,0.05922895,0.004199871,0.004092182,0.000107689,0.003122981,0.001615335,0.001507646,0.003984493,0.003446048,0.000538445,0.009584321,0.006569029,0.003015292,0.004415249,0.003876804,0.000538445,0.0998277,3701,0.04350176,0.08700351,4086,3701,0.2869495,0.8798191,2010,0.9596051,2010,1.685029,2010,1.102991,2010,1.743347,9.615882,9,1966834732.71094,179094.672919662
19041,19,41,465625,19041,Clay,Clay County,6,H1,G4020,,43980,,A,1.469139E+09,1.386694E+07,43.07982,-95.14973,tl_2010_19_county10,/Users/ethanmcfarlin/Desktop/AQDRP/Census_Shapefiles/TIGER2010/counties/tl_2010_19_county10.shp,2010,0.2499861,G1900410,2010,19,41,16667,0.5097498,0.06467871,0.06251875,0.06281874,0.0397792,0.02255955,0.009299814,0.009059818,0.02969941,0.05927882,0.05909882,0.05387892,0.05591888,0.07133857,0.08063839,0.07571848,0.02561949,0.03413932,0.01721966,0.02663947,0.04385912,0.03797924,0.03401932,0.03215936,0.03593928,0.9646007,0.950561,0.01403972,0.004139917,0.004079918,5.99988E-05,0.002279954,0.002159957,0.0001199976,0.005939881,0.005879882,5.99988E-05,0.01121978,0.008639827,0.002579948,0.00599988,0.005879882,0.0001199976,0.02861943,7282,0.03776435,0.08225762,8062,7282,0.2936006,0.946481,2010,0.761518,2010,1.457339,2010,1.090836,2010,1.509069,9.565422,10,2781376599.70703,210892.062750049
